timestamp,model,split,imbalance_strategy,notes,precision,recall,f1,pr_auc,mcc,roc_auc,accuracy,tp,fp,fn,tn,threshold,n_test,n_test_fraud
2026-08-26T10:02:20+00:00,xgboost,drift_sliding_block2,none,phase4 drift,0.9642857142857143,0.6666666666666666,0.7883211678832117,0.7779741703819354,0.8015951295464081,0.9524004154330918,0.9995603329340954,54,2,27,65876,0.5,65959,81
2026-08-26T10:02:21+00:00,xgboost,drift_sliding_block3,none,phase4 drift,0.8793103448275862,0.7727272727272727,0.8225806451612904,0.8079833454347456,0.8236866915125596,0.9898304297088802,0.9987550928021729,51,7,15,17599,0.5,17672,66
2026-08-26T10:02:22+00:00,xgboost,drift_sliding_block4,none,phase4 drift,0.9111111111111111,0.6949152542372882,0.7884615384615384,0.7574120993238905,0.795540559568757,0.973484464665208,0.9996458239423015,41,4,18,62053,0.5,62116,59
2026-08-26T10:02:23+00:00,xgboost,drift_sliding_block5,none,phase4 drift,0.9807692307692307,0.6710526315789473,0.796875,0.8068828897711567,0.811079586564193,0.9869184558296527,0.9995645182902319,51,1,25,59627,0.5,59704,76
2026-08-26T10:03:18+00:00,xgboost,drift_static_block2,none,phase4 drift,1.0,0.647887323943662,0.7863247863247863,0.8113339052935451,0.8046989176206644,0.9743485130605305,0.9994649774220472,46,0,25,46656,0.5,46727,71
2026-08-26T10:03:19+00:00,xgboost,drift_static_block3,none,phase4 drift,0.9393939393939394,0.5636363636363636,0.7045454545454546,0.6917806112405273,0.7274408648023462,0.9215294821963744,0.9994832862991375,31,2,24,50261,0.5,50318,55
2026-08-26T10:03:20+00:00,xgboost,drift_static_block4,none,phase4 drift,0.7377049180327869,0.75,0.743801652892562,0.7729790130271775,0.7424779597203996,0.9959708075795828,0.9973153199965359,45,16,15,11471,0.5,11547,60
2026-08-26T10:03:21+00:00,xgboost,drift_static_block5,none,phase4 drift,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.6523945994207518,0.5543039785296378,0.9706867489250909,0.999160416433449,18,21,9,35684,0.5,35732,27
2026-08-26T10:03:22+00:00,xgboost,drift_static_block6,none,phase4 drift,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.7576236885525103,0.7093125150408588,0.9820729311625668,0.999271107511642,44,18,18,49310,0.5,49390,62
2026-08-26T10:03:22+00:00,xgboost,drift_static_block7,none,phase4 drift,0.68,0.6538461538461539,0.6666666666666666,0.7048885648716815,0.666397785460828,0.9627758204246946,0.999206034140532,34,16,18,42755,0.5,42823,52
2026-08-26T10:03:32+00:00,xgboost,drift_expanding_block2,none,phase4 drift,1.0,0.647887323943662,0.7863247863247863,0.8113339052935451,0.8046989176206644,0.9743485130605305,0.9994649774220472,46,0,25,46656,0.5,46727,71
2026-08-26T10:03:33+00:00,xgboost,drift_expanding_block3,none,phase4 drift,0.95,0.6909090909090909,0.8,0.7202847438325051,0.8099952088955256,0.920654086776284,0.9996224015262928,38,2,17,50261,0.5,50318,55
2026-08-26T10:03:35+00:00,xgboost,drift_expanding_block4,none,phase4 drift,0.8703703703703703,0.7833333333333333,0.8245614035087719,0.8152272273759298,0.8248480926418802,0.9894532950291633,0.9982679483848619,47,7,13,11480,0.5,11547,60
2026-08-26T10:03:36+00:00,xgboost,drift_expanding_block5,none,phase4 drift,0.6896551724137931,0.7407407407407407,0.7142857142857143,0.725002869722523,0.7145184835330196,0.9799250027229301,0.9995522220978394,20,9,7,35696,0.5,35732,27
2026-08-26T10:03:38+00:00,xgboost,drift_expanding_block6,none,phase4 drift,1.0,0.7258064516129032,0.8411214953271028,0.8411824520221359,0.8517959860003834,0.9836185428939136,0.9996558007693865,45,0,17,49328,0.5,49390,62
2026-08-26T10:03:40+00:00,xgboost,drift_expanding_block7,none,phase4 drift,0.9487179487179487,0.7115384615384616,0.8131868131868132,0.7579830127616685,0.8214350243152893,0.9781011756707906,0.999603017070266,37,2,15,42769,0.5,42823,52
2026-08-26T10:03:57+00:00,xgboost,drift_sliding_block2,none,phase4 drift,1.0,0.647887323943662,0.7863247863247863,0.8113339052935451,0.8046989176206644,0.9743485130605305,0.9994649774220472,46,0,25,46656,0.5,46727,71
2026-08-26T10:03:58+00:00,xgboost,drift_sliding_block3,none,phase4 drift,0.95,0.6909090909090909,0.8,0.7202410727792217,0.8099952088955256,0.93267558098945,0.9996224015262928,38,2,17,50261,0.5,50318,55
2026-08-26T10:03:59+00:00,xgboost,drift_sliding_block4,none,phase4 drift,0.9230769230769231,0.8,0.8571428571428571,0.8064877182479755,0.8586648488612698,0.9840051072226575,0.9986143587078895,48,4,12,11483,0.5,11547,60
2026-08-26T10:04:00+00:00,xgboost,drift_sliding_block5,none,phase4 drift,0.782608695652174,0.6666666666666666,0.72,0.7017925259823437,0.722122944622136,0.9633467664555747,0.9996081943356095,18,5,9,35700,0.5,35732,27
