model,protocol,config,params,train_pr_auc,cv_mean,cv_sd,cv_se,gap
xgboost,stratified,search 15,"{""subsample"": 0.8, ""reg_lambda"": 20, ""reg_alpha"": 0, ""n_estimators"": 400, ""min_child_weight"": 40, ""max_depth"": 4, ""learning_rate"": 0.02, ""gamma"": 0.5, ""colsample_bytree"": 0.7}",0.809168881900538,0.7800760009089214,0.03560730103570352,0.015924069122226346,0.029092880991616665
xgboost,stratified,search 16,"{""subsample"": 0.8, ""reg_lambda"": 5, ""reg_alpha"": 1, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.5, ""colsample_bytree"": 0.7}",0.9881289112381015,0.8460975258007888,0.025720108510727095,0.011502382203731332,0.14203138543731275
xgboost,stratified,search 17,"{""subsample"": 0.7, ""reg_lambda"": 10, ""reg_alpha"": 1, ""n_estimators"": 400, ""min_child_weight"": 5, ""max_depth"": 5, ""learning_rate"": 0.03, ""gamma"": 0, ""colsample_bytree"": 0.6}",0.9061228622207043,0.8435529583666579,0.028175104531545887,0.012600289801139794,0.06256990385404637
xgboost,stratified,search 18,"{""subsample"": 0.8, ""reg_lambda"": 20, ""reg_alpha"": 5, ""n_estimators"": 300, ""min_child_weight"": 10, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0, ""colsample_bytree"": 0.8}",0.8967190634931075,0.8394318790607527,0.03273174212878815,0.014638080084392794,0.05728718443235481
xgboost,stratified,search 19,"{""subsample"": 0.6, ""reg_lambda"": 20, ""reg_alpha"": 1, ""n_estimators"": 200, ""min_child_weight"": 10, ""max_depth"": 4, ""learning_rate"": 0.03, ""gamma"": 2, ""colsample_bytree"": 0.7}",0.8339340094367605,0.8112912299867843,0.039574584431620485,0.017698292194081654,0.02264277944997628
xgboost,stratified,search 20,"{""subsample"": 0.6, ""reg_lambda"": 1, ""reg_alpha"": 0, ""n_estimators"": 100, ""min_child_weight"": 10, ""max_depth"": 3, ""learning_rate"": 0.03, ""gamma"": 2, ""colsample_bytree"": 0.8}",0.8443162687588295,0.8201262304976078,0.04028901694986604,0.018017796129308337,0.02419003826122168
xgboost,stratified,search 21,"{""subsample"": 0.7, ""reg_lambda"": 20, ""reg_alpha"": 1, ""n_estimators"": 300, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.03, ""gamma"": 2, ""colsample_bytree"": 0.7}",0.862707291441971,0.8296537652023186,0.03407171860044645,0.015237335780168452,0.03305352623965241
xgboost,stratified,search 22,"{""subsample"": 0.8, ""reg_lambda"": 5, ""reg_alpha"": 5, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 1, ""colsample_bytree"": 0.8}",0.8997557688556989,0.8358033430516179,0.029117986172562928,0.013021959289949925,0.063952425804081
xgboost,stratified,search 23,"{""subsample"": 0.8, ""reg_lambda"": 20, ""reg_alpha"": 1, ""n_estimators"": 200, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.03, ""gamma"": 2, ""colsample_bytree"": 0.8}",0.8506568659323637,0.8201620749307095,0.03628432841022318,0.01622684496863718,0.030494791001654198
xgboost,stratified,search 24,"{""subsample"": 0.8, ""reg_lambda"": 20, ""reg_alpha"": 0, ""n_estimators"": 100, ""min_child_weight"": 40, ""max_depth"": 5, ""learning_rate"": 0.02, ""gamma"": 0, ""colsample_bytree"": 0.6}",0.7374041294734429,0.7281082623498196,0.03370350226411134,0.015072664428474205,0.009295867123623291
